       1.1595614    0.0501412    0.0470940      1.06493
       1.1996971     0.111398    0.0346233      3.22408
       1.2412219     0.204607    0.0313525      6.57163
       1.2841840     0.227711    0.0289869      7.93797
       1.3286331     0.151868    0.0213903      7.16115
       1.3746208    0.0653105    0.0301679      2.16645
       1.4222002    0.0671016    0.0260064      2.58312
       1.4714264     0.137951    0.0317177      4.36435
       1.5223564     0.136550    0.0282940      4.84405
       1.5750496     0.234941    0.0258494      9.21372
       1.6295663     0.342276    0.0277978      12.6784
       1.6859701     0.343458    0.0344331      10.1294
       1.7443260     0.261234    0.0250239      10.6481
       1.8047021     0.194305    0.0233974      8.41000
       1.8671678     0.215942    0.0296606      7.34418
       1.9317957     0.255128    0.0394082      6.52757
       1.9986603     0.215387    0.0262965      8.31676
       2.0678396     0.366825    0.0334406      11.2850
       2.1394131     0.406210    0.0290480      14.7394
       2.2134641     0.374113    0.0317572      12.2824
       2.2900781     0.302754    0.0380343      8.15881
       2.3693440     0.295742    0.0551045      5.49302
